poop_vial_id,field_poop_vial_id,weight_observer,sample_extracted_if_two_samples,date_weighed,mass_extracted_.g.,mass_estimated.,hair_in_feces.,extraction_notes_.contaminants_removed.,other_extraction_notes,extra_fecal_sample.,duplicate_sample.,extracted.,date_of_extraction,extraaction_observer
K6396,,,,2016-11-08,0.05,,N,leaves removed,extracted in 100% MeOH by Matt M,,,,,
K6452,,,,2016-11-08,0.041,,Y,,extracted in 100% MeOH by Matt M,,,,,
K6584,,,,2016-11-08,0.05,,N,leaves and needles removed,extracted in 100% MeOH by Matt M,,,,,
H0669,,,,2015-10-16,0.03,,N,,H0262 is duplicate sample,,,,,
H0563,,,H0563,2015-10-15,0.049,,Y,,"H0563 15-10-15, 0.049, Yes,",,,,,
H0576,,,H0576,2015-10-13,0.051,,N,,"H0563 15-10-15, 0.049, Yes,",,,,,
H0356 H0578,,,H0356,2015-10-13,0.051,,N,bract and needles removed,"H0578 15-10-15, 0.051, No, grass rfemoved",,,,,
H0262,,,H0262,2015-10-15,0.043,,N,,"H0669 16-10-15, 0.030g, No,",,,,,
K660,,,,,0.05,Y,,,incorrect sample ID,,,,,
3.84,3.84,Erica Walker,,2018-11-27,0.045,,Y,,insufficient sample,,,,,
4.14,4.14,Odessa Fung,,2019-02-12,0.02,,Y,plant material removed,insufficient sample,,,,,
5.48,5.48,Odessa Fung,,2018-12-06,0.034,,Y,,insufficient sample,,,,,
7.86,7.86,Erica Walker,,2019-03-26,0.039,,N,,insufficient sample,,,,,
11.29,11.29,Odessa Fung,,2019-02-20,0.026,,Y,,insufficient sample,,,,,
13.36,13.36,Odessa Fung,,2019-02-01,0.036,,N,,insufficient sample,,,,,
13.65,13.65,Odessa Fung,,2019-02-12,0.031,,N,,insufficient sample,,,,,
15.46,15.46,Odessa Fung,,2019-03-12,0.032,,Y,,insufficient sample,,,,,
15.96,15.96,Erica Walker,,2019-04-04,0.03,,N,,insufficient sample,,,,,
16.3,16.3,Erica Walker,,2018-11-13,0.021,,N,,insufficient sample,,,,,
16.69,16.69,Odessa Fung,,2019-02-20,0.045,,N,,insufficient sample,,,,,
17.42,17.42,Erica Walker,,2019-03-26,0.027,,N,,insufficient sample,,,,,
17.6,17.6,Odessa Fung,,2018-12-06,0.028,,Y,,insufficient sample,,,,,
18.68,18.68,Odessa Fung,,2019-03-13,0.045,,N,plant material removed,insufficient sample,,,,,
18.98,18.98,Odessa Fung,,2018-12-06,0.041,,N,,insufficient sample,,,,,
19.55,19.55,Erica Walker,,2018-11-20,0.028,,N,plant material removed,insufficient sample,,,,,
19.62,19.62,Odessa Fung,,2018-11-15,0.043,,Y,,insufficient sample,,,,,
19.94,19.94,Odessa Fung,,2019-03-20,0.044,,Y,,insufficient sample,,,,,
20.05,20.05,Erica Walker,,2018-11-20,0.022,,N,,insufficient sample,,,,,
20.18,20.18,Odessa Fung,,2019-02-12,0.042,,Y,plant material removed,insufficient sample,,,,,
20.77,20.77,Odessa Fung,,2019-02-06,0.04,,N,,insufficient sample,,,,,
20.92,20.92,Erica Walker,,2018-11-20,0.029,,N,,insufficient sample,,,,,
