id,poop_id,extraction_date,extraction_observer_id,extraction_volume,weigh_date,weigh_observer_id,hair,contaminants_removed,mass_g,extra,box_id
1726,A0579,NA,NA,1000,2015-11-12,NA,FALSE,bract and needles removed,0.052,NA,50
1727,A0580,NA,NA,1000,NA,NA,NA,NA,0.05,NA,8
1728,A0583,NA,NA,1000,2015-11-19,NA,FALSE,NA,0.022,NA,48
1729,A0584,NA,NA,1000,NA,NA,NA,NA,0.043,NA,27
1730,A0585,NA,NA,1000,2015-11-19,NA,TRUE,leaves removed,0.052,NA,48
1731,A0586,NA,NA,1000,NA,NA,NA,NA,0.051,NA,NA
1732,A0587,NA,NA,1000,2015-11-17,NA,FALSE,grass and leaves removed,0.049,NA,48
1733,A0588,NA,NA,1000,NA,NA,NA,NA,0.048,NA,43
1734,A0589,NA,NA,1000,NA,NA,NA,NA,0.056,NA,8
1735,A0592,NA,NA,1000,NA,NA,NA,NA,0.053,NA,8
1736,A0593,NA,NA,1000,NA,NA,NA,NA,0.057,NA,9
1737,A0595,NA,NA,1000,NA,NA,NA,NA,0.05,NA,8
1738,A0596,NA,NA,1000,NA,NA,NA,NA,0.055,NA,27
1739,A0599,NA,NA,1000,NA,NA,NA,NA,0.052,NA,27
1740,A0600,NA,NA,1000,2015-11-19,NA,FALSE,bracts removed,0.049,NA,48
1741,A0601,NA,NA,1000,NA,NA,NA,NA,0.056,NA,14
1742,A0603,NA,NA,1000,NA,NA,NA,NA,0.054,NA,8
1743,A0604,NA,NA,1000,2015-11-19,NA,FALSE,leaves removed,0.05,NA,48
1744,A0606,NA,NA,1000,2015-11-17,NA,FALSE,NA,0.048,NA,48
1745,A0607,NA,NA,1000,NA,NA,NA,NA,0.053,NA,28
1746,A0611,NA,NA,1000,2015-11-17,NA,TRUE,leaves removed,0.052,NA,48
1747,A0612,NA,NA,1000,NA,NA,NA,NA,0.05,NA,27
1748,A0617,NA,NA,1000,NA,NA,NA,NA,0.051,NA,9
1749,A0619,NA,NA,1000,NA,NA,NA,NA,0.05,NA,8
1750,A0624,NA,NA,1000,NA,NA,NA,NA,0.051,NA,19
1751,A0626,NA,NA,1000,2015-11-11,NA,FALSE,needles removed,0.05,NA,48
1752,A0629,NA,NA,1000,NA,NA,NA,NA,0.052,NA,27
1753,A0631,NA,NA,1000,2015-11-17,NA,FALSE,NA,0.048,NA,6
1754,A0635,NA,NA,1000,NA,NA,NA,NA,0.052,NA,27
1755,A0639,NA,NA,1000,2015-11-17,NA,TRUE,bract and needles removed,0.05,NA,48
1756,A0640,NA,NA,1000,NA,NA,NA,NA,0.053,NA,9
1757,A0643,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.048,NA,6
1758,A0645,NA,NA,1000,NA,NA,NA,NA,0.049,NA,8
1759,A0648,NA,NA,1000,NA,NA,NA,NA,0.014,NA,27
1760,A0652,NA,NA,1000,2015-11-17,NA,FALSE,NA,0.051,NA,48
1761,A0659,NA,NA,1000,NA,NA,NA,NA,0.052,NA,9
1762,A0660,NA,NA,1000,2015-11-22,NA,FALSE,NA,0.051,NA,NA
1763,A0661,NA,NA,1000,NA,NA,NA,NA,0.055,NA,14
1764,A0662,NA,NA,1000,NA,NA,NA,NA,0.051,NA,8
1765,A0664,NA,NA,1000,NA,NA,NA,NA,0.051,NA,27
1766,A0666,NA,NA,1000,NA,NA,NA,NA,0.056,NA,9
1767,A0670,NA,NA,1000,NA,NA,NA,NA,0.05,NA,1
1768,A0671,NA,NA,1000,2015-11-11,NA,FALSE,bracts removed,0.049,NA,48
1769,A0672,NA,NA,1000,NA,NA,NA,NA,0.051,NA,8
1770,A0674,NA,NA,1000,2015-11-22,NA,FALSE,needles removed,0.049,NA,NA
1771,A0677,NA,NA,1000,NA,NA,NA,NA,0.053,NA,14
1772,A0678,NA,NA,1000,NA,NA,NA,NA,0.051,NA,2
1773,A0679,NA,NA,1000,NA,NA,NA,NA,0.056,NA,NA
1774,A0680,NA,NA,1000,2015-11-11,NA,FALSE,NA,0.053,NA,NA
1775,A0682,NA,NA,1000,NA,NA,NA,NA,0.053,NA,8
1776,A0683,NA,NA,1000,2015-11-12,NA,TRUE,NA,0.042,NA,48
1777,A0684,NA,NA,1000,NA,NA,NA,NA,0.053,NA,NA
1778,A0685,NA,NA,1000,NA,NA,NA,NA,0.053,NA,5
1779,A0690,NA,NA,1000,NA,NA,NA,NA,0.053,NA,10
1780,A0692,NA,NA,1000,NA,NA,NA,NA,0.05,NA,27
1781,A0693,NA,NA,1000,2015-11-17,NA,TRUE,NA,0.048,NA,48
1782,A0695,NA,NA,1000,NA,NA,NA,NA,0.051,NA,NA
1783,A0700,NA,NA,1000,NA,NA,NA,NA,0.05,NA,8
1784,A0701,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.048,NA,48
1785,A0702,NA,NA,1000,NA,NA,NA,NA,0.053,NA,NA
1786,A0703,NA,NA,1000,2015-11-11,NA,FALSE,bracts removed,0.05,NA,48
1787,A0704,NA,NA,1000,2015-11-11,NA,TRUE,needles removed,0.052,NA,NA
1788,A0705,NA,NA,1000,2015-11-19,NA,TRUE,NA,0.041,NA,48
1789,A0707,NA,NA,1000,NA,NA,NA,NA,0.051,NA,NA
1790,A0711,NA,NA,1000,2015-11-12,NA,FALSE,bracts removed,0.049,NA,48
1791,A0712,NA,NA,1000,NA,NA,NA,NA,0.055,NA,NA
1792,A0715,NA,NA,1000,2015-11-17,NA,TRUE,bract and grass removed,0.054,NA,48
1793,A0716,NA,NA,1000,2015-11-22,NA,FALSE,NA,0.047,NA,NA
1794,A0717,NA,NA,1000,NA,NA,NA,NA,0.05,NA,9
1795,A0718,NA,NA,1000,NA,NA,NA,NA,0.053,NA,9
1796,A0722,NA,NA,1000,NA,NA,NA,NA,0.051,NA,8
1797,A0723,NA,NA,1000,NA,NA,NA,NA,0.051,NA,NA
1798,A0724,NA,NA,1000,2015-11-19,NA,FALSE,NA,0.051,NA,50
1799,A0725,NA,NA,1000,NA,NA,NA,NA,0.05,NA,8
1800,A0727,NA,NA,1000,2015-11-12,NA,FALSE,NA,0.049,NA,48
1801,A0728,NA,NA,1000,NA,NA,NA,NA,0.05,NA,14
1802,A0730,NA,NA,1000,NA,NA,NA,NA,0.052,NA,9
1803,A0733,NA,NA,1000,2017-04-01,NA,FALSE,NA,0.041,NA,NA
1804,A0739,NA,NA,1000,NA,NA,NA,NA,0.052,NA,8
1805,A0741,NA,NA,1000,NA,NA,NA,NA,0.046,NA,8
1806,A0742,NA,NA,1000,NA,NA,NA,NA,0.054,NA,NA
1807,A0745,NA,NA,1000,2015-11-17,NA,FALSE,needles removed,0.05,NA,48
1808,A0746,NA,NA,1000,NA,NA,NA,NA,0.05,NA,NA
1809,A0748,NA,NA,1000,NA,NA,NA,NA,0.053,NA,8
1810,A0749,NA,NA,1000,2015-11-03,NA,FALSE,bracts removed,0.049,TRUE,50
1811,A0750,NA,NA,1000,NA,NA,NA,NA,0.054,NA,28
1812,A0752,NA,NA,1000,NA,NA,NA,NA,0.059,NA,19
1813,A0755,NA,NA,1000,NA,NA,NA,NA,0.052,NA,9
1814,A0758,NA,NA,1000,2015-11-23,NA,FALSE,leaves removed,0.047,NA,50
1815,A0761,NA,NA,1000,NA,NA,NA,NA,0.055,NA,NA
1816,A0762,NA,NA,1000,NA,NA,NA,NA,0.059,NA,27
1817,A0764,NA,NA,1000,NA,NA,NA,NA,0.043,NA,9
1818,A0768,NA,NA,1000,NA,NA,NA,NA,0.053,NA,9
1819,A0769,NA,NA,1000,2015-11-09,NA,FALSE,bracts removed,0.05,NA,50
1820,A0773,NA,NA,1000,2015-11-12,NA,FALSE,bracts removed,0.048,NA,48
1821,A0778,NA,NA,1000,NA,NA,NA,NA,0.035,NA,9
1822,A0780,NA,NA,1000,NA,NA,NA,NA,0.054,NA,NA
1823,A0781,NA,NA,1000,2015-11-03,NA,FALSE,NA,0.047,NA,NA
1824,A0785,NA,NA,1000,NA,NA,NA,NA,0.054,NA,26
1825,A0788,NA,NA,1000,NA,NA,NA,NA,0.052,NA,8
1826,A0790,NA,NA,1000,2015-11-22,NA,FALSE,NA,0.059,NA,NA
1827,A0791,NA,NA,1000,NA,NA,NA,NA,0.053,NA,50
1827,A0791,NA,NA,1000,NA,NA,NA,NA,0.053,NA,9
1828,A0792,NA,NA,1000,2015-11-11,NA,FALSE,bracts removed,0.052,NA,48
1829,A0793,NA,NA,1000,NA,NA,NA,NA,0.051,NA,8
