trapping_id,squirrel_id,poop_id,year,poop_time,comments
79802,10145,P0706,2008,NA,P0706 2:07
79809,8570,P0667,2008,NA,P0667 1:45
79810,8655,P0634,2008,NA,P0634 12:30
79815,10586,P0803,2008,NA,P0803 frozen P0808 EtOH 2:30
79815,10586,P0808,2008,NA,P0803 frozen P0808 EtOH 2:30
79820,13675,P0815,2008,NA,P0815 2:15
79824,8593,P0659,2008,NA,P0659 1:20
79825,8633,P0748,2008,NA,P0748 1:50
79830,8733,P0917,2008,NA,FMRI 1707;P0917;P0918;
79830,8733,P0918,2008,NA,FMRI 1707;P0917;P0918;
79832,10274,P0785,2008,NA,FMRF 1530;P0785;test 20.5 8.6 20.2 8.2
79833,10275,P0868,2008,NA,FMRF 1335;P0868;test 20.4 9.8 20.0 19.
79841,7904,P0966,2008,NA,Pk nips 4 sure P2;P0966 P1172EtOH 2:00
79841,7904,P1172,2008,NA,Pk nips 4 sure P2;P0966 P1172EtOH 2:00
79842,7905,P0669,2008,NA,P0669/P0912 EtOH 11:20
79842,7905,P0912,2008,NA,P0669/P0912 EtOH 11:20
79843,8288,P1016,2008,NA,P1016 P0924 EtOH 2:15
79843,8288,P0924,2008,NA,P1016 P0924 EtOH 2:15
79847,10219,P1206,2008,NA,P1206
79848,10269,P1091,2008,NA,P1091 EtOH
79850,10390,P0619,2008,NA,P0619/P0704 11:40
79850,10390,P0704,2008,NA,P0619/P0704 11:40
79851,10569,P0928,2008,NA,P0928 2:40
79852,10627,P0925,2008,NA,P0925 1:45
79853,11636,P0858,2008,NA,P0858 12:45
79854,13654,P0603,2008,NA,P0603 11:02
79858,8313,P1081,2008,NA,P1081 12:50
79859,8505,P1036,2008,NA,P1036 P1171 1:00
79859,8505,P1171,2008,NA,P1036 P1171 1:00
79861,10261,P0174,2008,NA,P0174 12:30
79862,10280,P0944,2008,NA,P0944 12:10
79863,10291,P0839,2008,NA,P0839 2:40
79864,10695,P1107,2008,NA,"P1107, P1033 2:10 DNA collected"
79864,10695,P1033,2008,NA,"P1107, P1033 2:10 DNA collected"
79871,10165,P1108,2008,NA,P1108 11:25
79880,13663,P0935,2008,NA,P0935 12:55
79881,8036,P0915,2008,NA,ht 17;test 19.0 9.7 19.0 9.5;P0915 lef
79882,13682,P0916,2008,NA,P0916 left in DH overnight;FMRI 1410;t
79883,7920,P0991,2008,NA,P0991 12:30
79884,7927,P0952,2008,NA,P0952 2:50
79885,8296,P0994,2008,NA,P0994 12:46
79887,8570,P1071,2008,NA,P1071 11:50
79890,8647,P0964,2008,NA,P0964 11:30
79900,10412,P1104,2008,NA,P1104 11:00
79906,11189,P1001,2008,NA,P1001 11:20
79908,13668,P0972,2008,NA,P0972 12:20
79916,8721,P1127,2008,NA,P1127 2:15
79917,8735,P0983,2008,NA,P0983 11:50
79919,10355,P0607,2008,NA,P0607 12:35
79921,10745,P1131,2008,NA,P1131 12:15
79923,7987,P0670,2008,NA,P0670 12:10
79926,10086,P1204,2008,NA,P1204
79928,13679,P1146,2008,NA,P1146 EtOH
79931,10068,P1141,2008,NA,P1141 12:05
79937,8297,P1057,2008,NA,P1057 12:17
79939,8572,P0940,2008,NA,P0940 2:18
79943,8680,P0988,2008,NA,P0988 1:55
79948,10137,P0926,2008,NA,P0926 12:46
79952,10183,P1052,2008,NA,P1052 10:55
