poop_id,lab,observer_id,date,dilution,volume_used,concentration,cv,plate_id,is_rerun,hormone,protocol_id
C0324,Boonstra,BJD,2011-05-21,9,10,29.618,12.9,T.2011.31,NA,Testosterone,TB910
C0331,Boonstra,BJD,2011-05-24,9,10,181.749,17.3,T.2011.34,NA,Testosterone,TB910
C0332,Boonstra,BJD,2011-05-26,9,10,67.515,4,T.2011.39,NA,Testosterone,TB910
C0337,Boonstra,BJD,2011-05-21,9,10,20.113,14.5,T.2011.33,NA,Testosterone,TB910
C0341,Boonstra,BJD,2011-05-25,9,10,58.119,7.2,T.2011.37,NA,Testosterone,TB910
C0361,Boonstra,BJD,2011-06-01,9,10,91.902,6.9,T.2011.46,NA,Testosterone,TB910
C0371,Boonstra,BJD,2011-06-01,9,10,19.859,17.1,T.2011.48,NA,Testosterone,TB910
C0374,Boonstra,BJD,2011-05-24,9,10,14.467,6.9,T.2011.34,NA,Testosterone,TB910
C0385,Boonstra,BJD,2011-05-20,9,10,15.353,3.1,T.2011.28,NA,Testosterone,TB910
C0387,Boonstra,BJD,2011-05-20,9,10,5.069,5.1,T.2011.28,NA,Testosterone,TB910
C0389,Boonstra,BJD,2011-05-25,9,10,19.128,9.2,T.2011.38,NA,Testosterone,TB910
C0394,Boonstra,BJD,2011-05-25,9,10,26.368,9.7,T.2011.38,NA,Testosterone,TB910
C0395,Boonstra,BJD,2011-05-26,9,10,29.355,0,T.2011.40,NA,Testosterone,TB910
C0396,Boonstra,BJD,2011-05-25,9,10,21.313,13.4,T.2011.37,NA,Testosterone,TB910
C0397,Boonstra,BJD,NA,9,10,15.069,4,T.2011.36,NA,Testosterone,TB910
C0406,Boonstra,BJD,2011-05-31,9,10,21.855,9.4,T.2011.45,NA,Testosterone,TB910
C0412,Boonstra,BJD,2011-05-26,9,10,22.701,0,T.2011.39,NA,Testosterone,TB910
C0413,Boonstra,BJD,2011-05-26,9,10,23.82,3.6,T.2011.39,NA,Testosterone,TB910
C0418,Boonstra,BJD,2011-05-24,9,10,13.489,11.3,T.2011.34,NA,Testosterone,TB910
C0419,Boonstra,BJD,2011-05-31,9,10,33.921,10,T.2011.45,NA,Testosterone,TB910
C0420,Boonstra,BJD,2011-05-26,9,10,11.564,10.7,T.2011.39,NA,Testosterone,TB910
C0420,Boonstra,BJD,2011-06-01,9,10,15.276,7.7,T.2011.46,NA,Testosterone,TB910
C0427,Boonstra,BJD,2011-05-31,9,10,30.25,5.2,T.2011.45,NA,Testosterone,TB910
C0429,Boonstra,BJD,2011-05-26,9,10,9.303,0,T.2011.39,NA,Testosterone,TB910
C0430,Boonstra,BJD,2011-05-25,9,10,11.321,0,T.2011.36,NA,Testosterone,TB910
C0433,Boonstra,BJD,2011-05-26,9,10,9.495,0,T.2011.39,NA,Testosterone,TB910
C0436,Boonstra,BJD,2011-05-21,9,10,9.611,2.3,T.2011.29,NA,Testosterone,TB910
C0442,Boonstra,BJD,2011-05-21,9,10,18.387,1.5,T.2011.29,NA,Testosterone,TB910
C0444,Boonstra,BJD,2011-05-25,9,10,29.447,3.8,T.2011.38,NA,Testosterone,TB910
C0445,Boonstra,BJD,2011-05-20,9,10,5.235,3,T.2011.28,NA,Testosterone,TB910
C0452,Boonstra,BJD,2011-05-25,9,10,24.758,9.3,T.2011.38,NA,Testosterone,TB910
C0454,Boonstra,BJD,2011-05-20,9,10,13.642,0,T.2011.28,NA,Testosterone,TB910
C0463,Boonstra,BJD,2011-05-25,9,10,25.222,0,T.2011.37,NA,Testosterone,TB910
C0464,Boonstra,BJD,2011-05-25,9,10,10.003,0,T.2011.35,NA,Testosterone,TB910
C0465,Boonstra,BJD,2011-05-25,9,10,29.158,4.9,T.2011.36,NA,Testosterone,TB910
C0468,Boonstra,BJD,2011-05-21,9,10,24.519,13.3,T.2011.31,NA,Testosterone,TB910
C0469,Boonstra,BJD,2011-05-26,9,10,13.646,19.6,T.2011.39,NA,Testosterone,TB910
C0481,Boonstra,BJD,2011-05-25,9,10,38.136,0,T.2011.38,NA,Testosterone,TB910
C0482,Boonstra,BJD,2011-05-20,9,10,13.623,1.6,T.2011.28,NA,Testosterone,TB910
